runningId,oid_mivne,id_binyan,t_sug_mivne,ms_komot,shem_mivne,t_amudim,id_binyan_orig,gova2009
,25705,27315,____ ____,3,,__,130263,18
,25706,27316,____ ____,4,,_____ ____ ______,73748,15
,25707,27317,____ ____,3,,__,75459,15
,25709,27319,____ ____,4,,_____ ____ ______,75065,16
,25713,27323,____ ____,3,,__,75302,13
,25714,27324,____ ____,4,,_____ ____ ______,75342,16
,25715,27325,____ ____,4,,_____ ____ ______,74140,14
,25716,27326,____ ____,4,,_____ ____ ______,74181,15
,25717,27327,____ ____,4,,_____ ____ ______,73770,17
,25718,27328,____ ____,4,,_____ ____ ______,73756,18
,25869,27481,____ ____,3,,__,75216,18
,25870,27482,____ ____,3,,__,55284,18
,25871,27483,____ ____,3,,__,75215,18
,25872,27484,____ ____,4,,__,75245,18
,25873,27485,____ ____,2,,__,75247,11
,25874,27486,____ ____,4,,__,73907,19
,25875,27487,____ ____,3,,__,73905,18
,25876,27488,____ ____,3,,__,73903,18
,25877,27489,____ ____,4,,__,73899,19
,25878,27490,____ ____,4,,__,73897,19
,25879,27491,____ ____,1,,__,73062,18
,25880,27492,____ ____,1,,__,73064,9
,25881,27493,____ ____,1,,__,73060,12
,25882,27494,____ ____,4,,__,73924,18
,25883,27495,____ ____,4,,__,142827,15
,25884,27496,____ ____,4,,__,130223,20
,25885,27497,____ ____,2,,__,73912,9
,25886,27498,____ ____,3,,__,73908,12
,25887,27499,____ ____,3,,__,75450,12
,25888,27500,____ ____,3,,__,75452,12
,25889,27501,____ ____,5,,__,132602,15
,25890,27502,____ ____,3,,__,73296,19
,25891,27503,____ ____,3,,__,73298,19
,25916,27528,____ ____,4,,__,73031,18
,25917,27529,____ ____,3,,__,130256,17
,25918,27530,____ ____,5,,__,73033,17
,25919,27531,____ ____,5,,__,65873,18
,25920,27532,____ ____,3,,__,75304,15
,25921,27533,____ ____,4,,_____ ____ ______,75307,17
,25923,27535,____ ____,5,,__,75361,21
,25924,27536,____ ____,6,,__,66304,23
,25925,27537,____ ____,2,,__,75360,14
,25926,27538,____ ____,4,,__,73035,20
,25927,27539,____ ____,5,,__,75363,25
,25928,27540,____ ____,4,,__,66305,17
,25929,27541,____ ____,2,,__,75362,12
,25930,27542,____ ____,3,,__,73037,13
,25949,27561,____ ____,3,,__,65866,13
,25950,27562,____ ____,4,,_____ ____ ______,75067,17
,25951,27563,____ ____,3,,__,75267,18
,25952,27564,____ ____,4,,__,73084,17
,25953,27565,____ ____,3,,__,73086,17
,25954,27566,____ ____,1,,__,73070,19
,25955,27567,____ ____,1,,__,73072,19
,25956,27568,____ ____,5,,__,73926,18
,25957,27569,____ ____,4,,_____ ____ ______,75763,14
,25958,27570,____ ____,4,,_____ ____ ______,75764,14
,25959,27571,____ ____,4,,__,73738,13
,25960,27572,____ ____,4,,_____ ____ ______,73736,13
,25964,27576,____ ____,5,,__,74011,20
,25965,27577,____ ____,5,,__,74013,20
,25966,27578,____ ____,2,,__,75467,12
,25967,27579,____ ____,2,,__,75468,12
,25968,27580,____ ____,2,,__,75461,15
,25969,27581,____ ____,2,,__,75463,15
,25970,27582,____ ____,6,,__,73044,23
,25971,27583,____ ____,6,,__,73046,12
,25972,27584,____ ____,4,,__,132607,19
,25973,27585,____ ____,4,,__,65879,19
,25974,27586,____ ____,3,,__,61033,13
,25975,27587,____ ____,3,,__,75332,13
,25976,27588,____ ____,4,,__,73307,20
,25984,27596,____ ____,3,,__,75300,17
,25986,27600,____ ____,3,,__,75364,18
,25987,27601,____ ____,4,,__,130259,23
,25988,27602,____ ____,5,,__,73039,17
,25989,27603,____ ____,2,,__,75366,11
,25990,27604,____ ____,3,,__,75369,14
,25991,27605,____ ____,7,,__,66307,25
,25992,27606,____ ____,3,,__,75368,14
,25993,27607,____ ____,4,,__,75371,19
,25994,27608,____ ____,4,,_____ ____ ______,66311,19
,25995,27609,____ ____,3,,__,75373,12
,25996,27610,____ ____,4,,__,75370,19
,25998,27612,____ ____,3,,__,75256,12
,25999,27613,____ ____,3,,__,75258,14
,26000,27614,____ ____,3,,__,75260,17
,26002,27616,____ ____,4,,_____ ____ ______,74175,16
,26003,27617,____ ____,4,,_____ ____ ______,74173,16
,26004,27618,____ ____,3,,__,74679,17
,26005,27619,____ ____,3,,__,74681,17
,26006,27620,____ ____,3,,__,74677,17
,26008,27622,____ ____,4,,_____ ____ ______,75761,14
,26009,27623,____ ____,4,,_____ ____ ______,73290,18
,26010,27624,____ ____,5,,_____ ____ ______,74008,19
,26011,27625,____ ____,4,,_____ ____ ______,75114,18
,26013,27627,____ ____,4,,__,73734,20
,26014,27628,____ ____,3,,__,85686,16
,26015,27629,____ ____,4,,_____ ____ ______,73948,14
,26016,27630,____ ____,4,,_____ ____ ______,75762,18
,26017,27631,____ ____,3,,__,85684,16
,26018,27632,____ ____,4,,__,73732,15
,26020,27634,____ ____,4,,_____ ____ ______,74010,19
,26021,27635,____ ____,3,,__,73289,18
,26024,27638,____ ____,4,,_____ ____ ______,85680,16
,26025,27639,____ ____,4,,_____ ____ ______,74012,16
